Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Global_Test_Loss,Global_Test_Acc,Global_Test_F1,Global_Eval_Time_Sec,Local_Test_Loss,Local_Test_Acc,Local_Test_F1,Local_Eval_Time_Sec,Learning_Rate,Epoch_Time_Sec,Is_Best
1,0.057942,97.9527,0.027250,98.8952,0.028423,98.8143,0.988153,27.19,N/A,N/A,N/A,N/A,0.00100000,984.89,Yes
2,0.026551,98.9886,0.022649,99.0722,0.024509,99.0821,0.990830,26.88,N/A,N/A,N/A,N/A,0.00097555,949.35,Yes
3,0.020974,99.2152,0.019538,99.2134,0.021337,99.1018,0.991013,24.67,N/A,N/A,N/A,N/A,0.00090460,875.63,Yes
4,0.017779,99.3125,0.017893,99.3064,0.019244,99.2268,0.992273,24.82,N/A,N/A,N/A,N/A,0.00079410,867.90,Yes
5,0.014740,99.4301,0.017304,99.3457,0.017849,99.2786,0.992786,24.68,N/A,N/A,N/A,N/A,0.00065485,868.01,Yes
6,0.011774,99.5522,0.018013,99.3296,0.019809,99.2839,0.992846,24.45,N/A,N/A,N/A,N/A,0.00050050,867.35,No
7,0.009022,99.6638,0.018284,99.3457,0.018305,99.2839,0.992839,24.69,N/A,N/A,N/A,N/A,0.00034615,866.24,No
8,0.006454,99.7545,0.018677,99.3922,0.020702,99.3268,0.993270,24.56,N/A,N/A,N/A,N/A,0.00020690,866.36,Yes
9,0.004110,99.8580,0.022354,99.3707,0.025120,99.2732,0.992730,24.65,N/A,N/A,N/A,N/A,0.00009640,867.83,No
10,0.002825,99.9020,0.024837,99.3886,0.028981,99.3071,0.993073,24.57,N/A,N/A,N/A,N/A,0.00002545,867.04,No
